egoid,alterid,mu,k,p,c,branching factor,log likelihood,AIC
19245,884657,0.499008301,8676764.079,202.4937449,39.60900102,4.89338e-318,-588.2109938,1184.421988
19538,29718,8.603967474,0.000428046,2.00622664,0.000533273,0.836036082,73195.30984,-146382.6197
19538,57842,2.547682882,0.011944826,1.423737848,0.000330276,0.841717321,18832.70442,-37657.40883
19538,242386,2.011040676,0.002280645,1.730329868,0.000430388,0.897286325,49866.28597,-99724.57194
19538,760391,3.664089072,0.007530083,1.51045052,0.000410401,0.790015101,17131.15824,-34254.31649
19538,799371,1.656671667,0.007022598,1.53498824,0.000353157,0.922465059,50587.32636,-101166.6527
19591,339488,0.043560216,0.019497471,1.344061861,0.000255618,0.97578164,1675.697656,-3343.395311
19591,340030,0.066143185,0.042380483,1.175528534,0.000192743,1.083703485,5617.673655,-11227.34731
19591,435974,0.367334132,0.005921412,1.567660794,0.000358994,0.941624943,18291.51224,-36575.02447
19591,936833,0.072186596,0.052946521,1.136085927,0.00032511,1.160613888,2025.127012,-4042.254024
19827,38683,0.191484916,0.009534813,1.538611444,0.000666187,0.909670086,1787.734425,-3567.468851
19827,312158,0.400192843,0.018504653,1.343445433,0.000311821,0.862135585,2536.681823,-5065.363645
19827,826751,0.491976541,0.024187114,1.283562713,0.000278052,0.869457332,2841.390774,-5674.781548
20179,29647,0.007968978,0.053737577,1.101350752,0.000274408,1.21736917,27.03477879,-46.06955758
20179,40021,0.10118486,0.013887253,1.400283077,0.000247122,0.964064038,12638.81424,-25269.62847
20179,417897,0.35825439,0.022387917,1.342570736,0.000563142,0.848020867,7037.653727,-14067.30745
20179,513033,0.047362845,0.020144947,1.346852644,0.00031746,0.949335432,2946.308639,-5884.617278
20179,803170,0.722736954,0.010287384,1.474968975,0.000442643,0.848516351,22572.66901,-45137.33803
20179,803578,0.504512084,0.004933038,1.626077589,0.000462965,0.964077193,92758.22194,-185508.4439
20335,14763,1.586017603,0.010527727,1.525204133,0.000612575,0.975896534,158768.9608,-317529.9217
20335,87328,0.015653657,0.020442163,1.415872435,0.000561075,1.105501088,39.78422207,-71.56844415
20335,273404,0.051188796,0.00931438,1.6829142,0.002071427,0.927994309,1001.934713,-1995.869425
20335,386464,0.033767038,0.025430675,1.299482688,0.000347314,0.922529212,307.1128048,-606.2256097
20335,479611,0.123517494,0.013899112,1.452011243,0.000607033,0.874705598,1127.601856,-2247.203713
20650,68404,1.330466993,0.002608965,1.722438055,0.000451635,0.942706688,87362.65994,-174717.3199
20650,227103,0.320568403,0.009093035,1.481876228,0.000336242,0.890219753,14365.88242,-28723.76485
20650,248318,0.193318941,0.003097782,1.688117439,0.000422662,0.94428148,22074.14081,-44140.28163
20650,332472,0.895951178,0.004948447,1.567523264,0.000323465,0.834141293,26603.84387,-53199.68774
20650,351075,0.037399503,0.008215458,1.497693423,0.00036443,0.84904761,834.7912546,-1661.582509
20650,390566,0.256309877,0.003352026,1.632445986,0.00035457,0.806141149,5861.408637,-11714.81727
20650,400539,0.030630338,0.016718731,1.365234783,0.000245681,0.952781438,2643.305427,-5278.610854
20650,595818,0.04015403,0.028481178,1.263772679,0.000226664,0.987821978,4575.37616,-9142.75232
20650,622545,0.057653927,0.016931451,1.387359858,0.00033737,0.967056577,7245.145865,-14482.29173
21090,54956,0.038553475,0.024662538,1.303738921,0.000251951,1.00599989,11698.2343,-23388.4686
21090,66676,0.022404511,0.033140958,1.26002449,0.000411083,0.967859167,475.3740185,-942.748037
21090,83566,0.103686222,0.026160564,1.295002447,0.000281651,0.988929108,12398.76985,-24789.5397
21090,269623,0.02119836,0.015145233,1.408679753,0.000318662,0.995200886,8362.404221,-16716.80844
21090,355291,0.091468083,0.016771365,1.376382959,0.0003123,0.929654795,4887.257591,-9766.515183
21090,385650,0.04157568,0.005583285,1.596407192,0.000544185,0.828268647,225.4186998,-442.8373995
21090,430377,0.01415329,0.037845661,1.252988537,0.000601458,0.976651007,389.8250978,-771.6501956
21090,479723,0.290751764,0.000100032,2.24892476,0.000578813,0.88501473,16519.20014,-33030.40028
21090,511956,0.204187776,0.009912622,1.473763209,0.000381106,0.871769804,7411.699962,-14815.39992
21090,564397,0.395628687,0.005400124,1.577746257,0.000393917,0.866280846,16633.99479,-33259.98959
21090,773353,1.519303729,0.001027819,1.886110152,0.000557168,0.886837267,42956.00152,-85904.00305
